Date,Weight
12/09/2022,
13/09/2022,
14/09/2022,
15/09/2022,75.35
16/09/2022,75.25
17/09/2022,
18/09/2022,74.75
19/09/2022,74.61
20/09/2022,74.45
21/09/2022,75.8
22/09/2022,75.95
23/09/2022,
24/09/2022,75.65
25/09/2022,74.85
26/09/2022,75.1
27/09/2022,74.85
28/09/2022,74.8
29/09/2022,74.1
30/09/2022,74.3
01/10/2022,74.4
02/10/2022,
03/10/2022,74.45
04/10/2022,74
05/10/2022,74.55
06/10/2022,74.85
07/10/2022,74.25
08/10/2022,
09/10/2022,74.1
10/10/2022,73.81
11/10/2022,74.11
12/10/2022,73.65
13/10/2022,
14/10/2022,74.25
15/10/2022,74.55
16/10/2022,73.9
17/10/2022,
18/10/2022,74.35
19/10/2022,74
20/10/2022,
21/10/2022,73.75
22/10/2022,74.45
23/10/2022,
24/10/2022,73.85
25/10/2022,73.75
26/10/2022,
27/10/2022,74.2
28/10/2022,
29/10/2022,
30/10/2022,74
31/10/2022,73.7
01/11/2022,
02/11/2022,
03/11/2022,
04/11/2022,
05/11/2022,73.9
06/11/2022,
07/11/2022,
08/11/2022,
09/11/2022,
10/11/2022,74.9
11/11/2022,
12/11/2022,
13/11/2022,
14/11/2022,
15/11/2022,
16/11/2022,
17/11/2022,
18/11/2022,
19/11/2022,
20/11/2022,
21/11/2022,
22/11/2022,
23/11/2022,
24/11/2022,
25/11/2022,
26/11/2022,
27/11/2022,
28/11/2022,
29/11/2022,74.95
30/11/2022,75
01/12/2022,74.8
02/12/2022,74.45
03/12/2022,74.85
04/12/2022,74.95
05/12/2022,74.85
06/12/2022,74.45
07/12/2022,74.85
08/12/2022,
09/12/2022,
10/12/2022,75
11/12/2022,74.3
12/12/2022,74.45
13/12/2022,
14/12/2022,75.95
15/12/2022,75.95
16/12/2022,76
17/12/2022,
18/12/2022,
19/12/2022,75.05
20/12/2022,74.45
21/12/2022,74.45
22/12/2022,74.3
23/12/2022,
24/12/2022,74.35
25/12/2022,73.95
26/12/2022,73.5
27/12/2022,73.9
28/12/2022,73.65
29/12/2022,73.65
30/12/2022,73.35
31/12/2022,73.35
01/01/2023,
02/01/2023,74.23
03/01/2023,73.65
04/01/2023,73.75
05/01/2023,73.85
06/01/2023,74.35
07/01/2023,73.55
08/01/2023,
09/01/2023,73.4
10/01/2023,73.4
11/01/2023,73.25
12/01/2023,73.4
13/01/2023,
14/01/2023,73.65
15/01/2023,
16/01/2023,73.65
17/01/2023,73.35
18/01/2023,73.2
19/01/2023,73.15
20/01/2023,73.5
21/01/2023,73.9
22/01/2023,74.5
23/01/2023,73.85
24/01/2023,73.25
25/01/2023,73
26/01/2023,72.7
27/01/2023,72.9
28/01/2023,
29/01/2023,72.65
30/01/2023,73.5
31/01/2023,72.9
01/02/2023,
02/02/2023,
03/02/2023,73.5
04/02/2023,72.35
05/02/2023,72.25
06/02/2023,72.35
07/02/2023,72.45
08/02/2023,
09/02/2023,72.55
10/02/2023,72.2
11/02/2023,72.55
12/02/2023,72.75
13/02/2023,72.4
14/02/2023,72.65
15/02/2023,72.55
16/02/2023,72.8
17/02/2023,72.95
18/02/2023,72.95
19/02/2023,72.6
20/02/2023,
21/02/2023,72.2
22/02/2023,72.6
23/02/2023,71.7
24/02/2023,71.5
25/02/2023,71.25
26/02/2023,71.55
27/02/2023,70.8
28/02/2023,70.95
01/03/2023,70.85
02/03/2023,71.7
03/03/2023,70.55
04/03/2023,71.05
05/03/2023,70.25
06/03/2023,69.95
