Date,IN,Weight
15/08/2022,,59.3
16/08/2022,2300,60.15
17/08/2022,1300,59.85
18/08/2022,2400,58.85
19/08/2022,2500,59.05
20/08/2022,,59.4
21/08/2022,,59.1
22/08/2022,1500,59.4
23/08/2022,2600,58.55
24/08/2022,2200,59.1
25/08/2022,2200,59.2
26/08/2022,2900,59.3
27/08/2022,1680,58.85
28/08/2022,2100,58.2
29/08/2022,1800,59.2
30/08/2022,2900,58.9
31/08/2022,3300,59.9
01/09/2022,1200,59.2
02/09/2022,2400,59.2
03/09/2022,2400,59.15
04/09/2022,3500,
05/09/2022,,60.15
06/09/2022,,59.8
07/09/2022,,
08/09/2022,,
09/09/2022,,
10/09/2022,,
11/09/2022,,
12/09/2022,,
13/09/2022,,
14/09/2022,600,60.15
15/09/2022,1500,59.8
16/09/2022,1600,59.2
17/09/2022,1400,59
18/09/2022,1750,59.1
19/09/2022,1250,59.05
20/09/2022,1450,58.85
21/09/2022,2500,58.85
22/09/2022,850,59.1
23/09/2022,4000,58.65
24/09/2022,300,59.15
25/09/2022,1300,58.9
26/09/2022,2600,58.95
27/09/2022,2300,59.1
28/09/2022,800,59.45
29/09/2022,1800,59.2
30/09/2022,2580,59.4
01/10/2022,1400,59
02/10/2022,2500,58.75
03/10/2022,2200,59.25
04/10/2022,2150,59.25
05/10/2022,2900,59
06/10/2022,1300,59.85
07/10/2022,2200,59.2
08/10/2022,2500,59.35
09/10/2022,3200,
10/10/2022,3150,60.15
11/10/2022,1550,60.15
12/10/2022,1100,59.35
13/10/2022,3500,58.75
14/10/2022,2500,59.15
15/10/2022,2500,59.2
16/10/2022,2500,59.3
17/10/2022,3000,60.2
18/10/2022,2500,60.1
19/10/2022,3500,59.4
20/10/2022,3500,60.4
21/10/2022,,60.5
22/10/2022,,60.6
23/10/2022,,59.9
24/10/2022,,60.5
25/10/2022,,
26/10/2022,,60.6
27/10/2022,,59.95
28/10/2022,,60
29/10/2022,,61
30/10/2022,,
31/10/2022,,60.5
01/11/2022,,60.5
02/11/2022,,60.15
03/11/2022,,59.9
04/11/2022,,59.95
05/11/2022,,60.15
06/11/2022,,61.2
07/11/2022,,
08/11/2022,,60.15
09/11/2022,,60.9
10/11/2022,,60.95
11/11/2022,,60.9
12/11/2022,,60.25
13/11/2022,,61.2
14/11/2022,,61.6
15/11/2022,,
16/11/2022,,60.2
17/11/2022,,60.15
18/11/2022,,60.7
19/11/2022,,
20/11/2022,,60.1
21/11/2022,,61.7
22/11/2022,,61.2
23/11/2022,,61.1
24/11/2022,,60.1
25/11/2022,,
26/11/2022,,61.15
27/11/2022,,61
28/11/2022,,61.2
29/11/2022,,60.5
30/11/2022,,60.05
01/12/2022,,60.2
02/12/2022,,60
03/12/2022,,60.2
04/12/2022,,60.05
05/12/2022,,60.1
06/12/2022,,60.1
07/12/2022,,60.6
08/12/2022,,60.2
09/12/2022,,60.6
10/12/2022,,
11/12/2022,,60.1
12/12/2022,,61.1
13/12/2022,,60.9
14/12/2022,,61.1
15/12/2022,,
16/12/2022,,62.1
17/12/2022,,61.7
18/12/2022,,62.4
19/12/2022,,61
20/12/2022,,60.9
21/12/2022,,61.1
22/12/2022,,61.1
23/12/2022,,60.25
24/12/2022,,60.8
25/12/2022,,
26/12/2022,,61.4
27/12/2022,,61.4
28/12/2022,,61.85
29/12/2022,,60.6
30/12/2022,,
31/12/2022,,60.05
01/01/2023,,60.55
02/01/2023,,60.6
03/01/2023,,60.05
04/01/2023,,60.25
05/01/2023,,60.2
06/01/2023,,60.2
07/01/2023,,
08/01/2023,,60.8
09/01/2023,,60.2
